	wrapperType	collectionType	artistId	collectionId	amgArtistId	artistName	collectionName	collectionCensoredName	artistViewUrl	collectionViewUrl	artworkUrl60	artworkUrl100	collectionPrice	collectionExplicitness	trackCount	copyright	country	currency	releaseDate	primaryGenreName
24	collection	Album	518462	1466704359	52456.0	Louis Armstrong	Satchmo Plays King Oliver	Satchmo Plays King Oliver	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satchmo-plays-king-oliver/1466704359?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/13/47/47/134747b3-6031-a5da-eef4-c7cba9b334c5/193483809106.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/13/47/47/134747b3-6031-a5da-eef4-c7cba9b334c5/193483809106.jpg/100x100bb.jpg	9.99	notExplicit	12	℗ 1960 © Audio Fidelity™ a division of 43 North Broadway, LLC. WARNING: All Rights Reserved. Unauthorized duplication is a violation of applicable laws.	USA	USD	1960-05-01T07:00:00Z	Ragtime
25	collection	Album	518462	457269138	52456.0	Louis Armstrong and His All-Stars	Satch Plays Fats	Satch Plays Fats	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satch-plays-fats/457269138?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3b/5a/87/3b5a8725-9c0a-8dca-0fea-b64228a0ed37/dj.nvrgmsmu.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3b/5a/87/3b5a8725-9c0a-8dca-0fea-b64228a0ed37/dj.nvrgmsmu.jpg/100x100bb.jpg	7.99	notExplicit	9	℗ 1986 Sony Music Entertainment Inc.	USA	USD	1955-06-01T07:00:00Z	Jazz
26	collection	Album	936963	405529503		King Oliver's Creole Jazz Band	Editio Princeps	Editio Princeps	https://music.apple.com/us/artist/king-olivers-creole-jazz-band/936963?uo=4	https://music.apple.com/us/album/editio-princeps/405529503?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/cf/40/87/mzi.kzsoibsx.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/cf/40/87/mzi.kzsoibsx.jpg/100x100bb.jpg	5.99	notExplicit	39	℗ 2010 Vintage Records	USA	USD	2010-11-19T08:00:00Z	Jazz
27	collection	Album	518462	912342163	52456.0	Louis Armstrong & Duke Ellington	The Great Reunion	The Great Reunion	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-great-reunion/912342163?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/40/40/aa/4040aad6-6b09-c4ea-1112-9756846ee65b/825646223749.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/40/40/aa/4040aad6-6b09-c4ea-1112-9756846ee65b/825646223749.jpg/100x100bb.jpg	8.99	notExplicit	7	℗ 1963 Parlophone Records Ltd, a Warner Music Group Company	USA	USD	1961-06-01T07:00:00Z	Jazz
28	collection	Album	518462	198229298	52456.0	Louis Armstrong	You're Driving Me Crazy (1930-1931), Vol. 7	You're Driving Me Crazy (1930-1931), Vol. 7	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/youre-driving-me-crazy-1930-1931-vol-7/198229298?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/c6/be/90/mzi.nzksavcx.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/c6/be/90/mzi.nzksavcx.jpg/100x100bb.jpg	9.99	notExplicit	18	℗ 1993 Sony Music Entertainment Inc.	USA	USD	1993-04-02T08:00:00Z	Jazz
29	collection	Album	518462	1434915606	52456.0	Louis Armstrong	Louis Armstrong Sings : Back Through the Years	Louis Armstrong Sings : Back Through the Years	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrong-sings-back-through-the-years/1434915606?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/e7/49/d6/e749d685-7e9c-8f57-f5d9-cc2f212a1536/06UMGIM00890.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/e7/49/d6/e749d685-7e9c-8f57-f5d9-cc2f212a1536/06UMGIM00890.rgb.jpg/100x100bb.jpg	17.99	notExplicit	34	A Geffen Records Release; This Compilation ℗ 2000 UMG Recordings, Inc.	USA	USD	2000-03-21T08:00:00Z	Jazz
30	collection	Album	518462	169733658	52456.0	Louis Armstrong	Satchmo the Great	Satchmo the Great	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satchmo-the-great/169733658?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/7d/7a/c2/mzi.xbnzhjmr.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/7d/7a/c2/mzi.xbnzhjmr.jpg/100x100bb.jpg	9.99	notExplicit	26	℗ Originally Released 1957, Originally Recorded 1957, (P) 1980, 2000 Sony Music Entertainment Inc.	USA	USD	1956-01-01T00:00:00Z	Jazz
31	collection	Album	518462	1360037655	52456.0	Louis Armstrong	Pops Is Tops: The Verve Studio Albums	Pops Is Tops: The Verve Studio Albums	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/pops-is-tops-the-verve-studio-albums/1360037655?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/bb/b1/52/bbb15291-9b70-8725-55b6-ccbcf93fc8a8/00602567557555.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/bb/b1/52/bbb15291-9b70-8725-55b6-ccbcf93fc8a8/00602567557555.rgb.jpg/100x100bb.jpg	34.99	notExplicit	72	A Verve Records release; This Compilation ℗ 2018 UMG Recordings, Inc.	USA	USD	2018-04-13T07:00:00Z	Jazz
32	collection	Album	518462	1443198374	52456.0	Louis Armstrong	Satchmo at Symphony Hall (Live)	Satchmo at Symphony Hall (Live)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satchmo-at-symphony-hall-live/1443198374?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/9b/51/97/9b519762-f6bc-39a3-5936-7aa49f5bf015/00011105066129.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/9b/51/97/9b519762-f6bc-39a3-5936-7aa49f5bf015/00011105066129.rgb.jpg/100x100bb.jpg	9.99	notExplicit	15	℗ 1996 UMG Recordings, Inc.	USA	USD	1954-01-01T00:00:00Z	Jazz
33	collection	Album	518462	193044433	52456.0	Louis Armstrong	Vol. 6 St. Louis Blues	Vol. 6 St. Louis Blues	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/vol-6-st-louis-blues/193044433?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/e5/ff/ed/mzi.skoqniyp.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/e5/ff/ed/mzi.skoqniyp.jpg/100x100bb.jpg	9.99	notExplicit	23	℗ 1991 SONY BMG MUSIC ENTERTAINMENT	USA	USD	1991-03-22T08:00:00Z	Jazz
